Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Exercise 3,,,,15-01-2024 00:09:22,15-01-2024 00:09:24,2.663s,PASSED
,,,,,,,
Test Cases/POST Create Token,,,,15-01-2024 00:09:22,15-01-2024 00:09:24,2.432s,PASSED
"response = sendRequest(findTestObject(""POST Create Token""))",,Verify status code ,,15-01-2024 00:09:22,15-01-2024 00:09:24,2.301s,PASSED
"verifyResponseStatusCode(response, 200)",,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.007s,PASSED
responseBody = response.getResponseBodyContent(),,Stored token,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.003s,PASSED
jsonResponse = JsonSlurper().parseText(responseBody),,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.008s,PASSED
token = token,,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.004s,PASSED
token = token,,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.001s,PASSED
"println(""Token: "" + token)",,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.002s,PASSED
,,,,,,,
Test Cases/Store Token,,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.026s,PASSED
storedToken = token,,Stored token,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.001s,PASSED
"println(""storedToken "" + storedToken)",,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.001s,PASSED
,,,,,,,
Test Cases/PUT Update Booking,,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.072s,PASSED
authToken = token,,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.001s,PASSED
"request = findTestObject(""PUT Update Booking"", [""id"":""1""])",,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.037s,PASSED
"headers = [""Cookie"":authToken=$authToken]",,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.001s,PASSED
println(headers),,,,15-01-2024 00:09:24,15-01-2024 00:09:24,0.000s,PASSED
